Model,Head,Label,Var,Disease,AUC
CXR_Foundation,XGB,1pct,l2,Edema,0.8019647436294488
CXR_Foundation,XGB,1pct,l2,Enlarged_Cardiomediastinum,0.6422222222222222
CXR_Foundation,XGB,1pct,l2,Fracture,0.6463839233555322
CXR_Foundation,XGB,1pct,l2,Lung_Lesion,0.6384273909985936
CXR_Foundation,XGB,1pct,l2,Lung_Opacity,0.6853988447759011
CXR_Foundation,XGB,1pct,l2,Pleural_Effusion,0.8849294479215738
CXR_Foundation,XGB,1pct,l2,Pneumonia,0.6656205573884821
CXR_Foundation,XGB,1pct,l2,Pneumothorax,0.8042133876996262
CXR_Foundation,XGB,1pct,l2,Pleural_Other,0.6068626815352697
CXR_Foundation,XGB,1pct,l2,Support_Devices,0.7700270924132182
CXR_Foundation,XGB,1pct,l2,No_Finding,0.7554850948509484
MedSigLIP,s4,5pct,raw,Atelectasis,0.7293375283470964
MedSigLIP,s4,5pct,raw,Cardiomegaly,0.7279825407240689
MedSigLIP,s4,5pct,raw,Consolidation,0.6554361078281835
MedSigLIP,s4,5pct,raw,Edema,0.7693890716923258
MedSigLIP,s4,5pct,raw,Enlarged_Cardiomediastinum,0.6600213755495734
MedSigLIP,s4,5pct,raw,Fracture,0.5533536262635252
MedSigLIP,s4,5pct,raw,Lung_Lesion,0.6830134588981847
MedSigLIP,s4,5pct,raw,Lung_Opacity,0.6629253227215485
MedSigLIP,s4,5pct,raw,Pleural_Effusion,0.7776679611493893
MedSigLIP,s4,5pct,raw,Pneumonia,0.7000694235755837
MedSigLIP,s4,5pct,raw,Pneumothorax,0.7591926857038966
MedSigLIP,s4,5pct,raw,Pleural_Other,0.7751369067765296
MedSigLIP,s4,5pct,raw,Support_Devices,0.8814529533701116
MedSigLIP,s4,5pct,raw,No_Finding,0.7785989159891599
CXR_Foundation,LR,NegBio,raw,Atelectasis,0.7753508616095222
CXR_Foundation,LR,NegBio,raw,Cardiomegaly,0.8230010496542551
CXR_Foundation,LR,NegBio,raw,Consolidation,0.7881182668868444
CXR_Foundation,LR,NegBio,raw,Edema,0.8622471966359633
CXR_Foundation,LR,NegBio,raw,Enlarged_Cardiomediastinum,0.6458608058608059
CXR_Foundation,LR,NegBio,raw,Fracture,0.6886293301387643
CXR_Foundation,LR,NegBio,raw,Lung_Lesion,0.7337623029841042
CXR_Foundation,LR,NegBio,raw,Lung_Opacity,0.7471280648627527
CXR_Foundation,LR,NegBio,raw,Pleural_Effusion,0.9044443183108184
CXR_Foundation,LR,NegBio,raw,Pneumonia,0.7401791044776119
CXR_Foundation,LR,NegBio,raw,Pneumothorax,0.8579001019367992
CXR_Foundation,LR,NegBio,raw,Pleural_Other,0.8234683281412254
CXR_Foundation,LR,NegBio,raw,Support_Devices,0.8662962112514352
CXR_Foundation,LR,NegBio,raw,No_Finding,0.8022541823847795
EVA-X,i4,1pct,raw,Atelectasis,0.6113901832314548
EVA-X,i4,1pct,raw,Cardiomegaly,0.6672485523632163
EVA-X,i4,1pct,raw,Consolidation,0.5917799747521113
EVA-X,i4,1pct,raw,Edema,0.6977546013471188
EVA-X,i4,1pct,raw,Enlarged_Cardiomediastinum,0.6403103699116022
EVA-X,i4,1pct,raw,Fracture,0.6506934429022191
EVA-X,i4,1pct,raw,Lung_Lesion,0.5921093479764592
EVA-X,i4,1pct,raw,Lung_Opacity,0.5832213048460638
EVA-X,i4,1pct,raw,Pleural_Effusion,0.6981750882099833
EVA-X,i4,1pct,raw,Pneumonia,0.6229982802483328
EVA-X,i4,1pct,raw,Pneumothorax,0.6099873077953715
EVA-X,i4,1pct,raw,Pleural_Other,0.5332156323756317
EVA-X,i4,1pct,raw,Support_Devices,0.6100430578271481
EVA-X,i4,1pct,raw,No_Finding,0.7294986449864499
CXR_Foundation,LR,10pct,l2,Atelectasis,0.7928067396313365
CXR_Foundation,LR,10pct,l2,Cardiomegaly,0.7947053510950552
CXR_Foundation,LR,10pct,l2,Consolidation,0.7743452249944976
CXR_Foundation,LR,10pct,l2,Edema,0.8544404940351572
CXR_Foundation,LR,10pct,l2,Enlarged_Cardiomediastinum,0.5987789987789988
CXR_Foundation,LR,10pct,l2,Fracture,0.6493749269774506
CXR_Foundation,LR,10pct,l2,Lung_Lesion,0.7188159282700423
CXR_Foundation,LR,10pct,l2,Lung_Opacity,0.7279812824449805
CXR_Foundation,LR,10pct,l2,Pleural_Effusion,0.8973742064293246
CXR_Foundation,LR,10pct,l2,Pneumonia,0.7060522339350697
CXR_Foundation,LR,10pct,l2,Pneumothorax,0.838260278627251
CXR_Foundation,LR,10pct,l2,Pleural_Other,0.7276322614107884
CXR_Foundation,LR,10pct,l2,Support_Devices,0.8314290115346629
CXR_Foundation,LR,10pct,l2,No_Finding,0.7863414634146342
BioViL-T,s2,CheXpert,raw,Atelectasis,0.6750702044930876
BioViL-T,s2,CheXpert,raw,Cardiomegaly,0.7804315308195982
BioViL-T,s2,CheXpert,raw,Consolidation,0.6194001480621861
BioViL-T,s2,CheXpert,raw,Edema,0.7703009055659477
BioViL-T,s2,CheXpert,raw,Enlarged_Cardiomediastinum,0.626080586080586
BioViL-T,s2,CheXpert,raw,Fracture,0.6541885734314756
BioViL-T,s2,CheXpert,raw,Lung_Lesion,0.5557533403656821
BioViL-T,s2,CheXpert,raw,Lung_Opacity,0.5496770734322829
BioViL-T,s2,CheXpert,raw,Pleural_Effusion,0.7849227179935843
BioViL-T,s2,CheXpert,raw,Pneumonia,0.5312446912189408
BioViL-T,s2,CheXpert,raw,Pneumothorax,0.7404689092762488
BioViL-T,s2,CheXpert,raw,Pleural_Other,0.6060360477178424
BioViL-T,s2,CheXpert,raw,Support_Devices,0.6831546804635611
BioViL-T,s2,CheXpert,raw,No_Finding,0.6847859078590786
CXR_Foundation,i2,10pct,raw,Atelectasis,0.7859032978110599
CXR_Foundation,i2,10pct,raw,Cardiomegaly,0.8042306389704224
CXR_Foundation,i2,10pct,raw,Consolidation,0.6952720142459833
CXR_Foundation,i2,10pct,raw,Edema,0.8647721219478959
CXR_Foundation,i2,10pct,raw,Enlarged_Cardiomediastinum,0.6437118437118436
CXR_Foundation,i2,10pct,raw,Fracture,0.6778595630330646
CXR_Foundation,i2,10pct,raw,Lung_Lesion,0.7176511954992968
CXR_Foundation,i2,10pct,raw,Lung_Opacity,0.7307547951548831
CXR_Foundation,i2,10pct,raw,Pleural_Effusion,0.9027244991811921
CXR_Foundation,i2,10pct,raw,Pneumonia,0.6850406373219603
CXR_Foundation,i2,10pct,raw,Pneumothorax,0.8591233435270133
CXR_Foundation,i2,10pct,raw,Pleural_Other,0.7771978734439834
CXR_Foundation,i2,10pct,raw,Support_Devices,0.8577965441316383
CXR_Foundation,i2,10pct,raw,No_Finding,0.7899241192411925
CXR_Foundation,LR,10pct,raw,Atelectasis,0.7885044642857143
CXR_Foundation,LR,10pct,raw,Cardiomegaly,0.8095083540302551
CXR_Foundation,LR,10pct,raw,Consolidation,0.75415674583325
CXR_Foundation,LR,10pct,raw,Edema,0.8686248033398164
CXR_Foundation,LR,10pct,raw,Enlarged_Cardiomediastinum,0.6286202686202687
CXR_Foundation,LR,10pct,raw,Fracture,0.6250029209019745
CXR_Foundation,LR,10pct,raw,Lung_Lesion,0.7331223628691983
CXR_Foundation,LR,10pct,raw,Lung_Opacity,0.7237649582023349
CXR_Foundation,LR,10pct,raw,Pleural_Effusion,0.9044406308185837
CXR_Foundation,LR,10pct,raw,Pneumonia,0.7096823225414196
CXR_Foundation,LR,10pct,raw,Pneumothorax,0.8494053686714238
CXR_Foundation,LR,10pct,raw,Pleural_Other,0.761961877593361
CXR_Foundation,LR,10pct,raw,Support_Devices,0.8574522258365576
CXR_Foundation,LR,10pct,raw,No_Finding,0.7982710027100272
EVA-X,i2,NegBio,raw,Atelectasis,0.787280156333274
EVA-X,i2,NegBio,raw,Cardiomegaly,0.8438418948262462
EVA-X,i2,NegBio,raw,Consolidation,0.7615789887552095
EVA-X,i2,NegBio,raw,Edema,0.8806442731277533
EVA-X,i2,NegBio,raw,Enlarged_Cardiomediastinum,0.6379487179487179
EVA-X,i2,NegBio,raw,Fracture,0.6608765099331136
EVA-X,i2,NegBio,raw,Lung_Lesion,0.6839226061027285
EVA-X,i2,NegBio,raw,Lung_Opacity,0.7255445931425222
EVA-X,i2,NegBio,raw,Pleural_Effusion,0.9064649789987512
EVA-X,i2,NegBio,raw,Pneumonia,0.7146360505166475
EVA-X,i2,NegBio,raw,Pneumothorax,0.9047230716955488
EVA-X,i2,NegBio,raw,Pleural_Other,0.7867144969948708
EVA-X,i2,NegBio,raw,Support_Devices,0.8342778415614235
EVA-X,i2,NegBio,raw,No_Finding,0.7965956618008857
BioViL-T,s4,NegBio,raw,Atelectasis,0.5990558144498095
BioViL-T,s4,NegBio,raw,Cardiomegaly,0.7062481676450331
BioViL-T,s4,NegBio,raw,Consolidation,0.5957950978993051
BioViL-T,s4,NegBio,raw,Edema,0.6877366127262553
BioViL-T,s4,NegBio,raw,Enlarged_Cardiomediastinum,0.6547935057023784
BioViL-T,s4,NegBio,raw,Fracture,0.5938310737253731
BioViL-T,s4,NegBio,raw,Lung_Lesion,0.5257842255570375
BioViL-T,s4,NegBio,raw,Lung_Opacity,0.5367495576694122
BioViL-T,s4,NegBio,raw,Pleural_Effusion,0.649046329088528
BioViL-T,s4,NegBio,raw,Pneumonia,0.5727432998451779
BioViL-T,s4,NegBio,raw,Pneumothorax,0.674403623846774
BioViL-T,s4,NegBio,raw,Pleural_Other,0.6002134769778985
BioViL-T,s4,NegBio,raw,Support_Devices,0.7398593015926332
BioViL-T,s4,NegBio,raw,No_Finding,0.7000625307528292
CXR_Foundation,XGB,CheXpert,raw,Atelectasis,0.7951108870967741
CXR_Foundation,XGB,CheXpert,raw,Cardiomegaly,0.806911831113118
CXR_Foundation,XGB,CheXpert,raw,Consolidation,0.7906620780727907
CXR_Foundation,XGB,CheXpert,raw,Edema,0.8616936932472776
CXR_Foundation,XGB,CheXpert,raw,Enlarged_Cardiomediastinum,0.6891330891330891
CXR_Foundation,XGB,CheXpert,raw,Fracture,0.5744596331347119
CXR_Foundation,XGB,CheXpert,raw,Lung_Lesion,0.7093332454289734
CXR_Foundation,XGB,CheXpert,raw,Lung_Opacity,0.7410397016889669
CXR_Foundation,XGB,CheXpert,raw,Pleural_Effusion,0.9099255221302466
CXR_Foundation,XGB,CheXpert,raw,Pneumonia,0.7203132963171589
CXR_Foundation,XGB,CheXpert,raw,Pneumothorax,0.8861705742439688
CXR_Foundation,XGB,CheXpert,raw,Pleural_Other,0.788576244813278
CXR_Foundation,XGB,CheXpert,raw,Support_Devices,0.8454373295397914
CXR_Foundation,XGB,CheXpert,raw,No_Finding,0.8007127371273712
CXR_Foundation,XGB,5pct,raw,Atelectasis,0.7941658266129032
CXR_Foundation,XGB,5pct,raw,Cardiomegaly,0.791794846466471
CXR_Foundation,XGB,5pct,raw,Consolidation,0.7304567918525781
CXR_Foundation,XGB,5pct,raw,Edema,0.8469705040694722
CXR_Foundation,XGB,5pct,raw,Enlarged_Cardiomediastinum,0.652014652014652
CXR_Foundation,XGB,5pct,raw,Fracture,0.6459866806869962
CXR_Foundation,XGB,5pct,raw,Lung_Lesion,0.7011361638537272
CXR_Foundation,XGB,5pct,raw,Lung_Opacity,0.725729326606712
CXR_Foundation,XGB,5pct,raw,Pleural_Effusion,0.9013028018933531
CXR_Foundation,XGB,5pct,raw,Pneumonia,0.6765152937600029
CXR_Foundation,XGB,5pct,raw,Pneumothorax,0.8407747196738022
CXR_Foundation,XGB,5pct,raw,Pleural_Other,0.6883590508298756
CXR_Foundation,XGB,5pct,raw,Support_Devices,0.8179960675226299
CXR_Foundation,XGB,5pct,raw,No_Finding,0.7906449864498645
BioViL-T,XGB,CheXpert,pca95,Atelectasis,0.599888392857143
BioViL-T,XGB,CheXpert,pca95,Cardiomegaly,0.6645616956423572
BioViL-T,XGB,CheXpert,pca95,Consolidation,0.563666740030813
BioViL-T,XGB,CheXpert,pca95,Edema,0.6634416461231618
BioViL-T,XGB,CheXpert,pca95,Enlarged_Cardiomediastinum,0.5974603174603175
BioViL-T,XGB,CheXpert,pca95,Fracture,0.527304591657904
BioViL-T,XGB,CheXpert,pca95,Lung_Lesion,0.5322279360056259
BioViL-T,XGB,CheXpert,pca95,Lung_Opacity,0.5375057883064024
BioViL-T,XGB,CheXpert,pca95,Pleural_Effusion,0.6757296363595575
BioViL-T,XGB,CheXpert,pca95,Pneumonia,0.5242348649446099
BioViL-T,XGB,CheXpert,pca95,Pneumothorax,0.7686714237172954
BioViL-T,XGB,CheXpert,pca95,Pleural_Other,0.591059387966805
BioViL-T,XGB,CheXpert,pca95,Support_Devices,0.6348323260513035
BioViL-T,XGB,CheXpert,pca95,No_Finding,0.6470569105691056
CXR_Foundation,i2,CheXpert,raw,Atelectasis,0.7881264400921658
CXR_Foundation,i2,CheXpert,raw,Cardiomegaly,0.8140311018288553
CXR_Foundation,i2,CheXpert,raw,Consolidation,0.7965545529122232
CXR_Foundation,i2,CheXpert,raw,Edema,0.8701113685071169
CXR_Foundation,i2,CheXpert,raw,Enlarged_Cardiomediastinum,0.6897191697191697
CXR_Foundation,i2,CheXpert,raw,Fracture,0.7079331697628227
CXR_Foundation,i2,CheXpert,raw,Lung_Lesion,0.7507032348804501
CXR_Foundation,i2,CheXpert,raw,Lung_Opacity,0.7441154249226195
CXR_Foundation,i2,CheXpert,raw,Pleural_Effusion,0.916072189694237
CXR_Foundation,i2,CheXpert,raw,Pneumonia,0.7238450327691497
CXR_Foundation,i2,CheXpert,raw,Pneumothorax,0.8448521916411825
CXR_Foundation,i2,CheXpert,raw,Pleural_Other,0.8241377074688796
CXR_Foundation,i2,CheXpert,raw,Support_Devices,0.8714696048494512
CXR_Foundation,i2,CheXpert,raw,No_Finding,0.8125691056910569
CheXFound,XGB,5pct,pca95,Atelectasis,0.6897321428571428
CheXFound,XGB,5pct,pca95,Cardiomegaly,0.7834584556333258
