Model,Head,Label,Var,Filename
CXR_Foundation,s4,5pct,raw,CXR_Foundation_s4_5pct_raw.npy
CXR_Foundation,s4,CheXpert,raw,CXR_Foundation_s4_CheXpert_raw.npy
CXR_Foundation,s4,NegBio,raw,CXR_Foundation_s4_NegBio_raw.npy
CheXFound,LR,10pct,l2,CheXFound_LR_10pct_l2.npy
CheXFound,LR,10pct,pca95,CheXFound_LR_10pct_pca95.npy
CheXFound,LR,10pct,raw,CheXFound_LR_10pct_raw.npy
CheXFound,LR,1pct,l2,CheXFound_LR_1pct_l2.npy
CheXFound,LR,1pct,pca95,CheXFound_LR_1pct_pca95.npy
CheXFound,LR,1pct,raw,CheXFound_LR_1pct_raw.npy
CheXFound,LR,5pct,l2,CheXFound_LR_5pct_l2.npy
CheXFound,LR,5pct,pca95,CheXFound_LR_5pct_pca95.npy
CheXFound,LR,5pct,raw,CheXFound_LR_5pct_raw.npy
CheXFound,LR,CheXpert,l2,CheXFound_LR_CheXpert_l2.npy
CheXFound,LR,CheXpert,pca95,CheXFound_LR_CheXpert_pca95.npy
CheXFound,LR,CheXpert,raw,CheXFound_LR_CheXpert_raw.npy
CheXFound,LR,NegBio,l2,CheXFound_LR_NegBio_l2.npy
CheXFound,LR,NegBio,pca95,CheXFound_LR_NegBio_pca95.npy
CheXFound,LR,NegBio,raw,CheXFound_LR_NegBio_raw.npy
CheXFound,XGB,10pct,l2,CheXFound_XGB_10pct_l2.npy
CheXFound,XGB,10pct,pca95,CheXFound_XGB_10pct_pca95.npy
CheXFound,XGB,10pct,raw,CheXFound_XGB_10pct_raw.npy
CheXFound,XGB,1pct,l2,CheXFound_XGB_1pct_l2.npy
CheXFound,XGB,1pct,pca95,CheXFound_XGB_1pct_pca95.npy
CheXFound,XGB,1pct,raw,CheXFound_XGB_1pct_raw.npy
CheXFound,XGB,5pct,l2,CheXFound_XGB_5pct_l2.npy
CheXFound,XGB,5pct,pca95,CheXFound_XGB_5pct_pca95.npy
CheXFound,XGB,5pct,raw,CheXFound_XGB_5pct_raw.npy
CheXFound,XGB,CheXpert,l2,CheXFound_XGB_CheXpert_l2.npy
CheXFound,XGB,CheXpert,pca95,CheXFound_XGB_CheXpert_pca95.npy
CheXFound,XGB,CheXpert,raw,CheXFound_XGB_CheXpert_raw.npy
CheXFound,XGB,NegBio,l2,CheXFound_XGB_NegBio_l2.npy
CheXFound,XGB,NegBio,pca95,CheXFound_XGB_NegBio_pca95.npy
CheXFound,XGB,NegBio,raw,CheXFound_XGB_NegBio_raw.npy
CheXFound,i2,10pct,raw,CheXFound_i2_10pct_raw.npy
CheXFound,i2,1pct,raw,CheXFound_i2_1pct_raw.npy
CheXFound,i2,5pct,raw,CheXFound_i2_5pct_raw.npy
CheXFound,i2,CheXpert,raw,CheXFound_i2_CheXpert_raw.npy
CheXFound,i2,NegBio,raw,CheXFound_i2_NegBio_raw.npy
CheXFound,i4,10pct,raw,CheXFound_i4_10pct_raw.npy
CheXFound,i4,1pct,raw,CheXFound_i4_1pct_raw.npy
CheXFound,i4,5pct,raw,CheXFound_i4_5pct_raw.npy
CheXFound,i4,CheXpert,raw,CheXFound_i4_CheXpert_raw.npy
CheXFound,i4,NegBio,raw,CheXFound_i4_NegBio_raw.npy
CheXFound,s2,10pct,raw,CheXFound_s2_10pct_raw.npy
CheXFound,s2,1pct,raw,CheXFound_s2_1pct_raw.npy
CheXFound,s2,5pct,raw,CheXFound_s2_5pct_raw.npy
CheXFound,s2,CheXpert,raw,CheXFound_s2_CheXpert_raw.npy
CheXFound,s2,NegBio,raw,CheXFound_s2_NegBio_raw.npy
CheXFound,s4,10pct,raw,CheXFound_s4_10pct_raw.npy
CheXFound,s4,1pct,raw,CheXFound_s4_1pct_raw.npy
CheXFound,s4,5pct,raw,CheXFound_s4_5pct_raw.npy
CheXFound,s4,CheXpert,raw,CheXFound_s4_CheXpert_raw.npy
CheXFound,s4,NegBio,raw,CheXFound_s4_NegBio_raw.npy
CheXagent,LR,10pct,l2,CheXagent_LR_10pct_l2.npy
CheXagent,LR,10pct,pca95,CheXagent_LR_10pct_pca95.npy
CheXagent,LR,10pct,raw,CheXagent_LR_10pct_raw.npy
CheXagent,LR,1pct,l2,CheXagent_LR_1pct_l2.npy
CheXagent,LR,1pct,pca95,CheXagent_LR_1pct_pca95.npy
CheXagent,LR,1pct,raw,CheXagent_LR_1pct_raw.npy
CheXagent,LR,5pct,l2,CheXagent_LR_5pct_l2.npy
CheXagent,LR,5pct,pca95,CheXagent_LR_5pct_pca95.npy
CheXagent,LR,5pct,raw,CheXagent_LR_5pct_raw.npy
CheXagent,LR,CheXpert,l2,CheXagent_LR_CheXpert_l2.npy
CheXagent,LR,CheXpert,pca95,CheXagent_LR_CheXpert_pca95.npy
CheXagent,LR,CheXpert,raw,CheXagent_LR_CheXpert_raw.npy
CheXagent,LR,NegBio,l2,CheXagent_LR_NegBio_l2.npy
CheXagent,LR,NegBio,pca95,CheXagent_LR_NegBio_pca95.npy
CheXagent,LR,NegBio,raw,CheXagent_LR_NegBio_raw.npy
CheXagent,XGB,10pct,l2,CheXagent_XGB_10pct_l2.npy
CheXagent,XGB,10pct,pca95,CheXagent_XGB_10pct_pca95.npy
CheXagent,XGB,10pct,raw,CheXagent_XGB_10pct_raw.npy
CheXagent,XGB,1pct,l2,CheXagent_XGB_1pct_l2.npy
CheXagent,XGB,1pct,pca95,CheXagent_XGB_1pct_pca95.npy
CheXagent,XGB,1pct,raw,CheXagent_XGB_1pct_raw.npy
CheXagent,XGB,5pct,l2,CheXagent_XGB_5pct_l2.npy
CheXagent,XGB,5pct,pca95,CheXagent_XGB_5pct_pca95.npy
CheXagent,XGB,5pct,raw,CheXagent_XGB_5pct_raw.npy
CheXagent,XGB,CheXpert,l2,CheXagent_XGB_CheXpert_l2.npy
CheXagent,XGB,CheXpert,pca95,CheXagent_XGB_CheXpert_pca95.npy
CheXagent,XGB,CheXpert,raw,CheXagent_XGB_CheXpert_raw.npy
CheXagent,XGB,NegBio,l2,CheXagent_XGB_NegBio_l2.npy
CheXagent,XGB,NegBio,pca95,CheXagent_XGB_NegBio_pca95.npy
CheXagent,XGB,NegBio,raw,CheXagent_XGB_NegBio_raw.npy
CheXagent,i2,10pct,raw,CheXagent_i2_10pct_raw.npy
CheXagent,i2,1pct,raw,CheXagent_i2_1pct_raw.npy
CheXagent,i2,5pct,raw,CheXagent_i2_5pct_raw.npy
CheXagent,i2,CheXpert,raw,CheXagent_i2_CheXpert_raw.npy
CheXagent,i2,NegBio,raw,CheXagent_i2_NegBio_raw.npy
CheXagent,i4,10pct,raw,CheXagent_i4_10pct_raw.npy
CheXagent,i4,1pct,raw,CheXagent_i4_1pct_raw.npy
CheXagent,i4,5pct,raw,CheXagent_i4_5pct_raw.npy
CheXagent,i4,CheXpert,raw,CheXagent_i4_CheXpert_raw.npy
CheXagent,i4,NegBio,raw,CheXagent_i4_NegBio_raw.npy
CheXagent,s2,10pct,raw,CheXagent_s2_10pct_raw.npy
CheXagent,s2,1pct,raw,CheXagent_s2_1pct_raw.npy
CheXagent,s2,5pct,raw,CheXagent_s2_5pct_raw.npy
CheXagent,s2,CheXpert,raw,CheXagent_s2_CheXpert_raw.npy
CheXagent,s2,NegBio,raw,CheXagent_s2_NegBio_raw.npy
CheXagent,s4,10pct,raw,CheXagent_s4_10pct_raw.npy
CheXagent,s4,1pct,raw,CheXagent_s4_1pct_raw.npy
CheXagent,s4,5pct,raw,CheXagent_s4_5pct_raw.npy
CheXagent,s4,CheXpert,raw,CheXagent_s4_CheXpert_raw.npy
CheXagent,s4,NegBio,raw,CheXagent_s4_NegBio_raw.npy
EVA-X,LR,10pct,l2,EVA-X_LR_10pct_l2.npy
EVA-X,LR,10pct,pca95,EVA-X_LR_10pct_pca95.npy
EVA-X,LR,10pct,raw,EVA-X_LR_10pct_raw.npy
EVA-X,LR,1pct,l2,EVA-X_LR_1pct_l2.npy
EVA-X,LR,1pct,pca95,EVA-X_LR_1pct_pca95.npy
EVA-X,LR,1pct,raw,EVA-X_LR_1pct_raw.npy
EVA-X,LR,5pct,l2,EVA-X_LR_5pct_l2.npy
EVA-X,LR,5pct,pca95,EVA-X_LR_5pct_pca95.npy
EVA-X,LR,5pct,raw,EVA-X_LR_5pct_raw.npy
EVA-X,LR,CheXpert,l2,EVA-X_LR_CheXpert_l2.npy
EVA-X,LR,CheXpert,pca95,EVA-X_LR_CheXpert_pca95.npy
EVA-X,LR,CheXpert,raw,EVA-X_LR_CheXpert_raw.npy
EVA-X,LR,NegBio,l2,EVA-X_LR_NegBio_l2.npy
EVA-X,LR,NegBio,pca95,EVA-X_LR_NegBio_pca95.npy
EVA-X,LR,NegBio,raw,EVA-X_LR_NegBio_raw.npy
EVA-X,XGB,10pct,l2,EVA-X_XGB_10pct_l2.npy
EVA-X,XGB,10pct,pca95,EVA-X_XGB_10pct_pca95.npy
EVA-X,XGB,10pct,raw,EVA-X_XGB_10pct_raw.npy
EVA-X,XGB,1pct,l2,EVA-X_XGB_1pct_l2.npy
EVA-X,XGB,1pct,pca95,EVA-X_XGB_1pct_pca95.npy
EVA-X,XGB,1pct,raw,EVA-X_XGB_1pct_raw.npy
EVA-X,XGB,5pct,l2,EVA-X_XGB_5pct_l2.npy
EVA-X,XGB,5pct,pca95,EVA-X_XGB_5pct_pca95.npy
EVA-X,XGB,5pct,raw,EVA-X_XGB_5pct_raw.npy
EVA-X,XGB,CheXpert,l2,EVA-X_XGB_CheXpert_l2.npy
EVA-X,XGB,CheXpert,pca95,EVA-X_XGB_CheXpert_pca95.npy
EVA-X,XGB,CheXpert,raw,EVA-X_XGB_CheXpert_raw.npy
EVA-X,XGB,NegBio,l2,EVA-X_XGB_NegBio_l2.npy
EVA-X,XGB,NegBio,pca95,EVA-X_XGB_NegBio_pca95.npy
EVA-X,XGB,NegBio,raw,EVA-X_XGB_NegBio_raw.npy
EVA-X,i2,10pct,raw,EVA-X_i2_10pct_raw.npy
EVA-X,i2,1pct,raw,EVA-X_i2_1pct_raw.npy
EVA-X,i2,5pct,raw,EVA-X_i2_5pct_raw.npy
EVA-X,i2,CheXpert,raw,EVA-X_i2_CheXpert_raw.npy
EVA-X,i2,NegBio,raw,EVA-X_i2_NegBio_raw.npy
EVA-X,i4,10pct,raw,EVA-X_i4_10pct_raw.npy
EVA-X,i4,1pct,raw,EVA-X_i4_1pct_raw.npy
EVA-X,i4,5pct,raw,EVA-X_i4_5pct_raw.npy
EVA-X,i4,CheXpert,raw,EVA-X_i4_CheXpert_raw.npy
EVA-X,i4,NegBio,raw,EVA-X_i4_NegBio_raw.npy
EVA-X,s2,10pct,raw,EVA-X_s2_10pct_raw.npy
EVA-X,s2,1pct,raw,EVA-X_s2_1pct_raw.npy
EVA-X,s2,5pct,raw,EVA-X_s2_5pct_raw.npy
EVA-X,s2,CheXpert,raw,EVA-X_s2_CheXpert_raw.npy
EVA-X,s2,NegBio,raw,EVA-X_s2_NegBio_raw.npy
EVA-X,s4,10pct,raw,EVA-X_s4_10pct_raw.npy
EVA-X,s4,1pct,raw,EVA-X_s4_1pct_raw.npy
EVA-X,s4,5pct,raw,EVA-X_s4_5pct_raw.npy
EVA-X,s4,CheXpert,raw,EVA-X_s4_CheXpert_raw.npy
EVA-X,s4,NegBio,raw,EVA-X_s4_NegBio_raw.npy
Early_Fusion,LR,10pct,l2,Early_Fusion_LR_10pct_l2.npy
Early_Fusion,LR,10pct,pca95,Early_Fusion_LR_10pct_pca95.npy
Early_Fusion,LR,10pct,raw,Early_Fusion_LR_10pct_raw.npy
Early_Fusion,LR,1pct,l2,Early_Fusion_LR_1pct_l2.npy
Early_Fusion,LR,1pct,pca95,Early_Fusion_LR_1pct_pca95.npy
Early_Fusion,LR,1pct,raw,Early_Fusion_LR_1pct_raw.npy
Early_Fusion,LR,5pct,l2,Early_Fusion_LR_5pct_l2.npy
Early_Fusion,LR,5pct,pca95,Early_Fusion_LR_5pct_pca95.npy
Early_Fusion,LR,5pct,raw,Early_Fusion_LR_5pct_raw.npy
Early_Fusion,LR,CheXpert,l2,Early_Fusion_LR_CheXpert_l2.npy
Early_Fusion,LR,CheXpert,pca95,Early_Fusion_LR_CheXpert_pca95.npy
Early_Fusion,LR,CheXpert,raw,Early_Fusion_LR_CheXpert_raw.npy
Early_Fusion,LR,NegBio,l2,Early_Fusion_LR_NegBio_l2.npy
Early_Fusion,LR,NegBio,pca95,Early_Fusion_LR_NegBio_pca95.npy
Early_Fusion,LR,NegBio,raw,Early_Fusion_LR_NegBio_raw.npy
Early_Fusion,i2,10pct,raw,Early_Fusion_i2_10pct_raw.npy
Early_Fusion,i2,1pct,raw,Early_Fusion_i2_1pct_raw.npy
Early_Fusion,i2,5pct,raw,Early_Fusion_i2_5pct_raw.npy
Early_Fusion,i2,CheXpert,raw,Early_Fusion_i2_CheXpert_raw.npy
Early_Fusion,i2,NegBio,raw,Early_Fusion_i2_NegBio_raw.npy
Early_Fusion,i4,10pct,raw,Early_Fusion_i4_10pct_raw.npy
Early_Fusion,i4,1pct,raw,Early_Fusion_i4_1pct_raw.npy
Early_Fusion,i4,5pct,raw,Early_Fusion_i4_5pct_raw.npy
Early_Fusion,i4,CheXpert,raw,Early_Fusion_i4_CheXpert_raw.npy
Early_Fusion,i4,NegBio,raw,Early_Fusion_i4_NegBio_raw.npy
Early_Fusion,s2,10pct,raw,Early_Fusion_s2_10pct_raw.npy
Early_Fusion,s2,1pct,raw,Early_Fusion_s2_1pct_raw.npy
Early_Fusion,s2,5pct,raw,Early_Fusion_s2_5pct_raw.npy
Early_Fusion,s2,CheXpert,raw,Early_Fusion_s2_CheXpert_raw.npy
Early_Fusion,s2,NegBio,raw,Early_Fusion_s2_NegBio_raw.npy
Early_Fusion,s4,10pct,raw,Early_Fusion_s4_10pct_raw.npy
Early_Fusion,s4,1pct,raw,Early_Fusion_s4_1pct_raw.npy
Early_Fusion,s4,5pct,raw,Early_Fusion_s4_5pct_raw.npy
Early_Fusion,s4,CheXpert,raw,Early_Fusion_s4_CheXpert_raw.npy
Early_Fusion,s4,NegBio,raw,Early_Fusion_s4_NegBio_raw.npy
MedSigLIP,LR,10pct,l2,MedSigLIP_LR_10pct_l2.npy
MedSigLIP,LR,10pct,pca95,MedSigLIP_LR_10pct_pca95.npy
MedSigLIP,LR,10pct,raw,MedSigLIP_LR_10pct_raw.npy
MedSigLIP,LR,1pct,l2,MedSigLIP_LR_1pct_l2.npy
MedSigLIP,LR,1pct,pca95,MedSigLIP_LR_1pct_pca95.npy
MedSigLIP,LR,1pct,raw,MedSigLIP_LR_1pct_raw.npy
MedSigLIP,LR,5pct,l2,MedSigLIP_LR_5pct_l2.npy
MedSigLIP,LR,5pct,pca95,MedSigLIP_LR_5pct_pca95.npy
MedSigLIP,LR,5pct,raw,MedSigLIP_LR_5pct_raw.npy
MedSigLIP,LR,CheXpert,l2,MedSigLIP_LR_CheXpert_l2.npy
MedSigLIP,LR,CheXpert,pca95,MedSigLIP_LR_CheXpert_pca95.npy
MedSigLIP,LR,CheXpert,raw,MedSigLIP_LR_CheXpert_raw.npy
MedSigLIP,LR,NegBio,l2,MedSigLIP_LR_NegBio_l2.npy
MedSigLIP,LR,NegBio,pca95,MedSigLIP_LR_NegBio_pca95.npy
MedSigLIP,LR,NegBio,raw,MedSigLIP_LR_NegBio_raw.npy
MedSigLIP,XGB,10pct,l2,MedSigLIP_XGB_10pct_l2.npy
MedSigLIP,XGB,10pct,pca95,MedSigLIP_XGB_10pct_pca95.npy
MedSigLIP,XGB,10pct,raw,MedSigLIP_XGB_10pct_raw.npy
MedSigLIP,XGB,1pct,l2,MedSigLIP_XGB_1pct_l2.npy
MedSigLIP,XGB,1pct,pca95,MedSigLIP_XGB_1pct_pca95.npy
MedSigLIP,XGB,1pct,raw,MedSigLIP_XGB_1pct_raw.npy
MedSigLIP,XGB,5pct,l2,MedSigLIP_XGB_5pct_l2.npy
MedSigLIP,XGB,5pct,pca95,MedSigLIP_XGB_5pct_pca95.npy
MedSigLIP,XGB,5pct,raw,MedSigLIP_XGB_5pct_raw.npy
MedSigLIP,XGB,CheXpert,l2,MedSigLIP_XGB_CheXpert_l2.npy
MedSigLIP,XGB,CheXpert,pca95,MedSigLIP_XGB_CheXpert_pca95.npy
MedSigLIP,XGB,CheXpert,raw,MedSigLIP_XGB_CheXpert_raw.npy
MedSigLIP,XGB,NegBio,l2,MedSigLIP_XGB_NegBio_l2.npy
MedSigLIP,XGB,NegBio,pca95,MedSigLIP_XGB_NegBio_pca95.npy
MedSigLIP,XGB,NegBio,raw,MedSigLIP_XGB_NegBio_raw.npy
