Head,Foundation_Model,Disease,AUROC,AUROC_Low,AUROC_High,AUPRC,Positives
Logistic Regression,CXR_Foundation,Pleural_Other,0.7636151452282158,0.698284386068477,0.8217609971713156,0.0809670707715207,32
Logistic Regression,CXR_Foundation,Support_Devices,0.8677817746889809,0.836134890763134,0.8984479323087508,0.5225331837235081,127
Logistic Regression,CXR_Foundation,No_Finding,0.8126178861788619,0.7853279053378858,0.8425353962146266,0.6302635347951695,246
Logistic Regression,Early_Fusion,Atelectasis,0.7839321716589861,0.7396740667420815,0.823421782663353,0.38387413418099137,128
Logistic Regression,Early_Fusion,Cardiomegaly,0.8376961503725446,0.8051584360496804,0.8659382012883682,0.4825703328715018,172
Logistic Regression,Early_Fusion,Consolidation,0.7893515276416095,0.7237873277081222,0.8460000878879941,0.16027434275271726,53
Logistic Regression,Early_Fusion,Edema,0.8736791249086381,0.835596971992135,0.9142018103262943,0.44123488400742517,89
Logistic Regression,Early_Fusion,Enlarged_Cardiomediastinum,0.7104761904761905,0.6025018738787197,0.8114734243648708,0.05914305207441706,21
Logistic Regression,Early_Fusion,Fracture,0.7718425049655334,0.6914577370805087,0.850300462412636,0.29528860061415074,45
Logistic Regression,Early_Fusion,Lung_Lesion,0.8183676160337553,0.7564690635680859,0.8738360351534015,0.23211271000631833,48
Logistic Regression,Early_Fusion,Lung_Opacity,0.7618239867417318,0.7303073725005155,0.7923702362164008,0.532898827805572,291
Logistic Regression,Early_Fusion,Pleural_Effusion,0.9197960831819099,0.8987844217031766,0.9405797879583899,0.8345963719633148,234
Logistic Regression,Early_Fusion,Pneumonia,0.7869200575807159,0.7423738595051534,0.831603028134519,0.3407965412650137,129
Logistic Regression,Early_Fusion,Pneumothorax,0.9062861026163779,0.7724598131607288,0.9802824109966624,0.3086610374229653,15
Logistic Regression,Early_Fusion,Pleural_Other,0.8326957987551867,0.7853678241024266,0.8805203743283249,0.09835580716497311,32
Logistic Regression,Early_Fusion,Support_Devices,0.9041345378432989,0.8749412646536726,0.9303306635771804,0.5858684647874086,127
Logistic Regression,Early_Fusion,No_Finding,0.8261734417344173,0.7966916407793943,0.856178597603006,0.6378357315050158,246
XGBoost,MedSigLIP,Atelectasis,0.7739190308179724,0.7323698545970491,0.81222572004129,0.3314426051028575,128
XGBoost,MedSigLIP,Cardiomegaly,0.8340835967487017,0.8023452940043199,0.8624601396462293,0.4452411710348345,172
XGBoost,MedSigLIP,Consolidation,0.7713839812721343,0.7079585588575709,0.8264612359650039,0.19993016006369804,53
XGBoost,MedSigLIP,Edema,0.8603991427474201,0.8198067576918715,0.8970225207910504,0.38608588239694086,89
XGBoost,MedSigLIP,Enlarged_Cardiomediastinum,0.7063736263736264,0.587790216638965,0.8072116510538642,0.05055375253551316,21
XGBoost,MedSigLIP,Fracture,0.6145928262647505,0.5347555046665271,0.7040756025398284,0.07425234157411927,45
XGBoost,MedSigLIP,Lung_Lesion,0.7218486286919831,0.6426730679285089,0.7966867483811286,0.12817627895170802,48
XGBoost,MedSigLIP,Lung_Opacity,0.7310813774950646,0.6962509850654173,0.7671814587676197,0.5145020574570738,291
XGBoost,MedSigLIP,Pleural_Effusion,0.9130437220988402,0.8919635043211094,0.9331214328360664,0.7995975323213278,234
XGBoost,MedSigLIP,Pneumonia,0.6809813756784063,0.6341779924602349,0.726001570794101,0.2774891148830577,129
XGBoost,MedSigLIP,Pneumothorax,0.8377845735643901,0.7668947927925899,0.900439094066459,0.0816043262926512,15
XGBoost,MedSigLIP,Pleural_Other,0.7998897821576764,0.7404348080295624,0.8475025746652934,0.0802836476917833,32
XGBoost,MedSigLIP,Support_Devices,0.7642642914744977,0.7236021871096086,0.8030897975679328,0.3180582477345354,127
XGBoost,MedSigLIP,No_Finding,0.8073712737127373,0.7817444239342106,0.836362469892965,0.5755356207156445,246
XGBoost,BioViL-T,Atelectasis,0.6240099366359446,0.572861968069908,0.6719412971158871,0.23091198762079573,128
XGBoost,BioViL-T,Cardiomegaly,0.7389012756829985,0.69739610516271,0.7731675148601914,0.349878452319435,172
XGBoost,BioViL-T,Consolidation,0.570199483783189,0.49659905792347464,0.6462989282495468,0.06680307314656743,53
XGBoost,BioViL-T,Edema,0.6710169344548642,0.609476267774934,0.7233315552875669,0.17389257987314252,89
XGBoost,BioViL-T,Enlarged_Cardiomediastinum,0.5885225885225887,0.45687911838218587,0.7133913470142323,0.026359807251296264,21
XGBoost,BioViL-T,Fracture,0.5653230517583829,0.47964076582003784,0.6378408550831773,0.053168000059937326,45
XGBoost,BioViL-T,Lung_Lesion,0.565225035161744,0.47718396087646325,0.6509667362852203,0.05769722461136346,48
XGBoost,BioViL-T,Lung_Opacity,0.5526553094002096,0.5067648988346763,0.5918046818327779,0.3228548803752669,291
XGBoost,BioViL-T,Pleural_Effusion,0.7396078695291294,0.7051601751425273,0.7754362202657723,0.4877164236255178,234
XGBoost,BioViL-T,Pneumonia,0.5361712400418444,0.4895123618013871,0.5848899568221199,0.13744254474575737,129
XGBoost,BioViL-T,Pneumothorax,0.6992184845395855,0.6147611458329663,0.7864237458833214,0.024055035664504607,15
XGBoost,BioViL-T,Pleural_Other,0.561008817427386,0.4782223501986731,0.665844285304088,0.03836301854911141,32
XGBoost,BioViL-T,Support_Devices,0.6568596359287079,0.6089792442554672,0.7067055658696919,0.2529039075240729,127
XGBoost,BioViL-T,No_Finding,0.6831978319783197,0.6435150756618385,0.7206534986101802,0.4117404743649008,246
XGBoost,EVA-X,Atelectasis,0.7478128600230416,0.7078636427909132,0.7900080469300422,0.3277067755277493,128
XGBoost,EVA-X,Cardiomegaly,0.8331804583427411,0.8009715571167155,0.861032090148039,0.4828370936441214,172
XGBoost,EVA-X,Consolidation,0.6975529722483442,0.6306160595599468,0.7575990541603931,0.10437620571213678,53
XGBoost,EVA-X,Edema,0.8712262923825923,0.8349857247560044,0.9053408665528853,0.4145627119114846,89
XGBoost,EVA-X,Enlarged_Cardiomediastinum,0.5814163614163614,0.43914373269577767,0.7225272164792095,0.032318043980716485,21
XGBoost,EVA-X,Fracture,0.5621684776258908,0.4780515130942999,0.6433669778369662,0.1067807486583672,45
